Metin,Kategori
Bugün kendimi çok kötü hissediyorum.,motive_edilmesi_gereken
"İşim çok zor, pes etmek istiyorum.",motive_edilmesi_gereken
Yorgun ve bitkinim.,motive_edilmesi_gereken
"Motivasyonum düştü, devam etmek zor.",motive_edilmesi_gereken
"Bıkkınım, hiç yapmak istemiyorum.",motive_edilmesi_gereken
Hiçbir şey yolunda gitmiyor.,motive_edilmesi_gereken
Kendimi yalnız hissediyorum.,motive_edilmesi_gereken
Başarısız olduğumu hissediyorum.,motive_edilmesi_gereken
"Çok stresliyim, ne yapacağımı bilmiyorum.",motive_edilmesi_gereken
Moralim çok bozuk.,motive_edilmesi_gereken
Her şey üstüme geliyor gibi hissediyorum.,motive_edilmesi_gereken
İçimden hiçbir şey yapmak gelmiyor.,motive_edilmesi_gereken
"Zihnim çok dağınık, odaklanamıyorum.",motive_edilmesi_gereken
Uykusuzum ve yorgunum.,motive_edilmesi_gereken
Beni anlayan kimse yok.,motive_edilmesi_gereken
Kaygılarım gittikçe artıyor.,motive_edilmesi_gereken
Başaramayacağımı düşünüyorum.,motive_edilmesi_gereken
"Çok hata yapıyorum, özgüvenim kırıldı.",motive_edilmesi_gereken
"İlerleyemiyorum, yerimde sayıyorum.",motive_edilmesi_gereken
Kendime inancım kalmadı.,motive_edilmesi_gereken
Yalnızca hayatta kalmaya çalışıyorum.,motive_edilmesi_gereken
Kendimi değersiz hissediyorum.,motive_edilmesi_gereken
Karanlık bir dönemdeyim.,motive_edilmesi_gereken
Hayallerimden uzaklaştım.,motive_edilmesi_gereken
İçimde bir boşluk var.,motive_edilmesi_gereken
"Bugün çok mutluyum, enerjim yüksek.",normal
"Her şey yolunda gidiyor, teşekkür ederim.",normal
"Harika hissediyorum, yeni projeler için hazırım.",normal
Kendimi güçlü ve kararlı hissediyorum.,normal
Bugün verimli bir gün geçirdim.,normal
"Hayat güzel, anın tadını çıkarıyorum.",normal
Küçük şeyler bile mutlu ediyor beni.,normal
Kendimle gurur duyuyorum.,normal
Yeni şeyler öğrenmek beni heyecanlandırıyor.,normal
Şu anda huzurluyum.,normal
Sevdiklerimle vakit geçirmek bana iyi geliyor.,normal
"Daha iyiye gidiyorum, bunu hissedebiliyorum.",normal
Hedeflerime doğru emin adımlarla ilerliyorum.,normal
İçimdeki güce inanıyorum.,normal
Yeni başlangıçlara hazırım.,normal
Bugün güne umutla başladım.,normal
Kendimi motive hissediyorum.,normal
Hayatla barış içindeyim.,normal
Şu an olduğum yerden memnunum.,normal
"İlham doluyum, üretmek istiyorum.",normal
Zorlukların üstesinden gelebilirim.,normal
Kendimi daha çok sevmeye başladım.,normal
Şükredecek çok şeyim var.,normal
Mutluluk bazen küçük bir tebessümde gizli.,normal
Hayat yolculuğumda ilerlemeye devam ediyorum.,normal
